District,Year,flowering_tmax_mean,flowering_tmin_mean,flowering_tmax_max,flowering_tmax_std,flowering_day_night_diff,flowering_rainfall_total,flowering_rainy_days,flowering_extreme_heat_days,flowering_heat_stress_days,grain_filling_tmax_mean,grain_filling_tmin_mean,grain_filling_tmax_max,grain_filling_tmax_std,grain_filling_day_night_diff,grain_filling_rainfall_total,grain_filling_rainy_days,grain_filling_extreme_heat_days,grain_filling_heat_stress_days,maturation_tmax_mean,maturation_tmin_mean,maturation_tmax_max,maturation_tmax_std,maturation_day_night_diff,maturation_rainfall_total,maturation_rainy_days,maturation_extreme_heat_days,seasonal_tmax_mean,seasonal_tmin_mean,seasonal_rainfall_total
Hanumangarh,2021,28.245714285714286,10.869642857142859,34.98,3.29461674112475,17.37607142857143,0.35,4,0,7,32.16321428571429,14.831428571428571,36.02,2.327277941941534,17.331785714285715,0.7100000000000001,5,2,21,35.715769230769226,17.915769230769232,40.77,2.0122329349792945,17.8,6.66,6,17,28.782983425414365,12.864309392265193,34.14
Hanumangarh,2022,25.577142857142857,9.267857142857142,31.77,2.696744068581327,16.309285714285714,4.1899999999999995,7,0,1,29.70678571428572,13.03785714285714,39.6,3.9580878787723575,16.668928571428573,2.33,4,3,10,40.86538461538461,21.469615384615388,44.46,1.9050044215575577,19.395769230769233,0.0,0,26,29.726629834254148,14.248618784530386,60.690000000000005
Hisar,2010,26.958571428571428,10.212500000000002,33.1,3.1239869045650916,16.74607142857143,6.9799999999999995,5,0,6,31.323928571428578,13.854642857142858,36.56,3.1169160200734436,17.469285714285714,3.27,4,3,20,39.35,20.918846153846154,42.13,1.3404059086709514,18.431153846153844,0.62,2,26,29.86060773480663,13.966574585635358,41.69
Hisar,2011,25.444285714285716,10.219642857142858,30.64,2.3458622809683103,15.224642857142857,26.91,10,0,1,26.945714285714285,11.439285714285717,35.84,3.678227661545535,15.506428571428572,14.85,12,1,6,35.57576923076923,17.521153846153844,38.68,1.6327355525667302,18.054615384615385,11.42,5,17,28.364033149171277,12.847624309392266,58.209999999999994
Hisar,2012,24.698620689655172,7.6772413793103444,29.7,2.9738175610987816,17.021379310344827,0.22999999999999998,6,0,0,28.359310344827588,10.352758620689656,33.36,2.381533016229076,18.006551724137932,0.59,6,0,6,36.70230769230769,18.982307692307693,40.28,2.8403989968908347,17.720000000000002,1.3,1,20,27.836318681318687,11.852142857142859,35.26
Hisar,2013,23.904642857142854,9.6225,27.43,2.227911299090194,14.282142857142858,40.370000000000005,15,0,0,28.173571428571424,12.005357142857145,34.9,4.033191195186662,16.16821428571428,32.51,12,0,11,34.168076923076924,17.77692307692308,38.61,2.680373137055017,16.39115384615385,6.89,9,10,27.779834254143644,12.3146408839779,93.0
Hisar,2014,23.97392857142857,8.699642857142857,27.64,2.464911296256459,15.274285714285714,11.37,13,0,0,26.65035714285715,11.131428571428572,31.67,2.345434465229807,15.518928571428571,13.430000000000001,10,0,1,33.610769230769236,17.57653846153846,38.36,2.2632682970906,16.03423076923077,16.18,14,5,27.534254143646415,12.388563535911603,61.120000000000005
Hisar,2015,26.897142857142857,10.629285714285716,31.94,3.1057686555503365,16.267857142857142,7.579999999999999,12,0,7,27.16107142857143,12.060357142857145,31.94,3.0822362484088224,15.100714285714288,68.63,17,0,7,32.00923076923077,17.359615384615385,37.13,3.376698888650776,14.649615384615386,61.32,11,6,27.6346408839779,12.690718232044196,173.39000000000001
Hisar,2016,26.99896551724138,10.12241379310345,32.87,3.1391221985357474,16.87655172413793,3.02,7,0,8,30.597586206896548,14.17448275862069,34.94,2.4381633239159077,16.42310344827586,21.1,13,0,17,35.580384615384624,19.03192307692308,40.59,2.7367023671115294,16.548461538461538,3.17,6,17,29.842417582417582,13.948736263736263,24.92
Hisar,2017,26.186785714285712,10.171785714285715,30.99,2.929067673144892,16.015,0.21000000000000002,2,0,3,28.20428571428572,12.156785714285718,30.99,1.8109142944961758,16.047500000000003,8.41,8,0,5,36.598076923076924,19.565384615384616,40.89,3.492438711537563,17.032692307692308,5.36,5,18,28.752541436464092,13.263093922651933,92.33000000000001
